flow_id,step_id,timestamp,run_id,session_id,user_action,expected_system_behavior,actual_system_behavior,ui_state,api_status,artifact_refs,result,notes
flow_1,failure_injection_runtime_error,2026-07-23T07:34:37-09:00,autoad-uat-failure-valid-zxtz_7vx,session_0c8dae41fc1eb7d6,"inject syntactically valid model.py candidate returning MissingModel()","A runtime-invalid candidate must remain a failed Attempt with no metrics, Candidate, or Champion","attempt_000005 FAILED; RUN_COMMAND_FAILED; OutcomeCard attempt_category=run_failed, metrics_parsed=false, protocol_intact=true; executor admission remained ADMITTED",not_run,completed,"/tmp/autoad-uat-failure-valid-zxtz_7vx/01_torch_xor_image_classification/attempts/attempt_000005/execution_result.json;/tmp/autoad-uat-failure-valid-zxtz_7vx/01_torch_xor_image_classification/attempts/attempt_000005/outcome_card.json;/tmp/autoad-uat-failure-valid-zxtz_7vx/01_torch_xor_image_classification/attempts/attempt_000005/failure_classification.json",PASS,"Failure is retained as run_failed; no metrics or promotion artifact was created."
flow_2,reproducibility_failure_injection,2026-07-23T07:34:37-09:00,autoad-uat-repro-fixed-ior9nmw0,session_bf94c8df2047684f,"repeat the same admitted unseeded model.py candidate twice","Same patch SHA and ComparisonIdentity must persist repeated metric evidence and suppress stable-improvement claims when values differ","attempt_000005 RMSE 55.90052556917078; attempt_000006 RMSE 55.73453187283311; second scientific assessment reproducibility_status=not_reproducible and scientific_effect=null; reproducibility.json persisted; DecisionEngine action=confirm_seed",not_run,completed,"/tmp/autoad-uat-repro-fixed-ior9nmw0/02_sklearn_diabetes_regression/attempts/attempt_000006/reproducibility.json;/tmp/autoad-uat-repro-fixed-ior9nmw0/02_sklearn_diabetes_regression/attempts/attempt_000006/scientific_assessment.json;/tmp/autoad-uat-repro-fixed-ior9nmw0/02_sklearn_diabetes_regression/attempts/attempt_000006/outcome_card.json",PASS,"Real CPU execution used the frozen seed 17 and unchanged protected files; the system now requires a fixed seed or explicit noise calibration."
flow_3,failure_injection_protected_hidden_label,2026-07-23T07:34:37-09:00,autoad-uat-failure-valid-zxtz_7vx,session_f6204a968660fec4,"request hidden-label/ARI selection by editing protected data.py","Unsupervised control plane must reject hidden-label leakage before creating an Attempt","Executor summary implementation_failed after repeated REPAIR_REJECTED_HARD: edit target is protected by frozen hash; no candidate Attempt, metrics, or Champion was created",not_run,blocked,"/tmp/autoad-uat-failure-valid-zxtz_7vx/03_sklearn_unsupervised_clustering/executor_staging/fe734da6dbcac464/executor_summary.json;/tmp/autoad-uat-failure-valid-zxtz_7vx/03_sklearn_unsupervised_clustering/executor_staging/fe734da6dbcac464/repair_log.jsonl",PASS,"Protected path gate rejected the hidden-label injection before Attempt creation; existing clustering artifacts were untouched."
flow_1,fixture_oracle,2026-07-22T20:43:26-09:00,fixture_verify_temp,-,run scripts/verify_all_fixtures.py,"baseline/candidate output matches expected_metrics.json for b_dev and b_test","Temporary-copy verifier passed for XOR fixture; exact baseline and candidate metrics matched expected_metrics.json",not_run,not_run,scripts/verify_all_fixtures.py;expected/expected_metrics.json,PASS,"This validates the fixture oracle only; it does not exercise Session/Job/Attempt creation."
flow_1,environment_preflight,2026-07-22T20:43:26-09:00,fixture_env_probe,-,inspect interpreter and installed ML dependencies,"Execution uses the package-declared Python 3.11+ environment and declared dependency floor","Verifier used direct Python 3.8.10 with torch 2.4.1+cu121, scikit-learn 1.3.2, and numpy 1.24.4; the oracle still passed",not_run,not_run,README.md;repos/01_torch_xor_image_classification/requirements.txt;repos/02_sklearn_diabetes_regression/requirements.txt;repos/03_sklearn_unsupervised_clustering/requirements.txt,ENV_RISK,"Do not install or alter dependencies during this test; rerun under the declared environment before release acceptance."
flow_1,declared_environment_oracle,2026-07-22T20:51:38-09:00,fixture_verify_py312,-,run scripts/verify_all_fixtures.py under the existing Python 3.12 environment,"All declared Python 3.11+ fixture dependencies are available and the exact oracle remains reproducible","Python 3.12.13 with torch 2.5.1+cu124, scikit-learn 1.9.0, and numpy 2.4.4 passed all three fixture cases and exact metrics",not_run,not_run,scripts/verify_all_fixtures.py;workspace/envs/patchcore_linux_gpu_07h/bin/python,PASS,"This removes the release-blocking interpretation of the default Python 3.8 environment risk; the default interpreter itself remains unsuitable."
flow_1,adapter_preflight,2026-07-22T20:43:26-09:00,adapter_probe_temp,-,build b_dev and b_test command with split_ref injected by control plane,"Explicit evaluation command accepts the frozen split reference and produces an execution plan","generic_python manifest inspected as supported, but both phases rejected split_ref because split_ref_arg_index is absent",not_run,not_run,src/autoad_researcher/experiment/executor_adapters.py;repos/01_torch_xor_image_classification/autoad_executor_adapter.json,BLOCKED,"Exact error: adapter b_dev/b_test command does not declare a split reference argument."
flow_2,fixture_oracle,2026-07-22T20:43:26-09:00,fixture_verify_temp,-,run scripts/verify_all_fixtures.py,"baseline/candidate output matches expected_metrics.json for b_dev and b_test","Temporary-copy verifier passed for diabetes fixture; exact baseline and candidate metrics matched expected_metrics.json",not_run,not_run,scripts/verify_all_fixtures.py;expected/expected_metrics.json,PASS,"This validates the fixture oracle only; it does not exercise Session/Job/Attempt creation."
flow_2,metric_contract,2026-07-22T20:43:26-09:00,contract_probe_temp,-,evaluate candidate RMSE/MAE against baseline with CPU-only and category-free contract,"RMSE/MAE decrease is an improvement; max_gpu_seconds=0 and category_set=[] are represented without fabricated GPU usage","MINIMIZE_EFFECT=IMPROVEMENT; RMSE delta=21.88877022451304; MAE delta=20.872927726990525; CPU-only/category-free contract accepted",not_run,not_run,src/autoad_researcher/experiment/validity.py;src/autoad_researcher/experiment/evaluation_contract.py;tests/test_baseline_control.py,PASS,"No GPU execution was started."
flow_2,adapter_preflight,2026-07-22T20:43:26-09:00,adapter_probe_temp,-,build b_dev and b_test command with split_ref injected by control plane,"Explicit evaluation command accepts the frozen split reference and produces an execution plan","generic_python manifest inspected as supported, but both phases rejected split_ref because split_ref_arg_index is absent",not_run,not_run,src/autoad_researcher/experiment/executor_adapters.py;repos/02_sklearn_diabetes_regression/autoad_executor_adapter.json,BLOCKED,"Exact error: adapter b_dev/b_test command does not declare a split reference argument."
